manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application_en	application	color_en	color	height	length	material_en	material	size_en	size	voltage_rating	weight	type_en	type	availability	url	pid	title_en	title	description_en	description	brand	thumb_image	price	sale_price	category_paths
Hubbell Wiring Device-Kellems	HBL1386I	['HBL', 'HBL1', 'HBL13', 'HBL138', 'HBL1386', 'HBL1386I']	78358543266	Extra Heavy Duty Industrial	Extrem robuste Industrieausführung	Ivory	Elfenbein				 	Standard Sized	Standardgröße	120/277 VAC	0.25	General Purpose Switches	Universalschalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/19526___19526	19526	HW HBL1386I DPDT 20A IV AC SW	HW HBL1386I DPDT 20A IV AC SW	Hubbell HBL1386I 20 Amp 120/277 VAC DPDT Ivory Toggle Switch	Hubbell HBL1386I 20 Ampere 120/277 VAC DPDT Elfenbein Kippschalter	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_19526.jpg	10.75	6.77	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703090000', 'name': 'Toggle Switches'}, {'id': 'NA_240703090200', 'name': 'Industrial Grade'}]]
Klein Tools	470	['470']	9264448128	Designed to take .5 or lighter hard lines	Konzipiert für harte Leitungen mit einem Durchmesser von 0,5 Zoll oder weniger.		 			Forged Steel	Geschmiedeter Stahl	127 mm	127 mm		0.28	Individual Hooks and Blocks	Einzelne Haken und Blöcke	TRUE	https://pacific.bloomreach.com/supplyglobal/products/1996761___1996761	1996761	KLEIN 470 Swivel Hook with Plunger	KLEIN 470 Drehhaken mit Kolben	Klein 470 Swivel Hook with Plunger Latch	Klein 470 Drehhaken mit Kolbenverschluss	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_1996761.jpg	8.27	5.21	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302250000', 'name': 'Swivel Hooks'}]]
Ideal Industries	90-052	['90-', '90-0', '90-05', '90-052']	78325090052		 	Red	Rot			Plastic	Plastik		 		1.28	Flange Anchor Kit	Flanschanker-Set	TRUE	https://pacific.bloomreach.com/supplyglobal/products/20485___20485	20485	IDEAL 90-052 10SCR FLNG ANCHOR KIT	IDEAL 90-052 10SCR FLNG ANKERKIT	IDEAL 90-052 Flange Anchor Kit, 201pc, 10-12 x 1 Anchors, #10-1-1/4 Screws, 1/4 Masonry Bit	IDEAL 90-052 Flanschanker-Set, 201-teilig, 10-12 x 1 Anker, #10-1-1/4 Schrauben, 1/4 Mauerwerksbohrer	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_20485.jpg	7.59	4.78	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160100000000', 'name': 'Fastener Assortments'}, {'id': 'NA_160101000000', 'name': 'Anchor Kit'}]]
Klein Tools	D213-9NETP	['D21', 'D213', 'D213-', 'D213-9', 'D213-9N', 'D213-9NE', 'D213-9NET', 'D213-9NETP']	9264470056		 	Dark Blue	Dunkelblau				 		 		1.1	Conduit Tools; High-Leverage Side-Cutting Pliers - Fish Tape Pulling	Werkzeuge für Kabelkanäle; Hochleistungs-Seitenschneider – Einziehzange	TRUE	https://pacific.bloomreach.com/supplyglobal/products/21595___21595	21595	KLEIN D2139NETP 9-IN SIDECUT PLIER	KLEIN D2139NETP 9-IN-SIDECUT-ZANGE	Klein D2139NETP 9 Lineman's Fish Tape Pulling Pliers	Klein D2139NETP 9 Einziehzange für Kabelkanäle	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21595.jpg	13.26	8.35	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
Klein Tools	D213-8NE	['D21', 'D213', 'D213-', 'D213-8', 'D213-8N', 'D213-8NE']	9264470032		 	Dark Blue	Dunkelblau				 		 		1	High-Leverage	Hohe Hebelwirkung	TRUE	https://pacific.bloomreach.com/supplyglobal/products/21597___21597	21597	KLEIN D2138NE 8-IN SIDECUT PLIERS	KLEIN D2138NE 8-Zoll-Seitenschneiderzange	Klein D213-8NE 8 Lineman's Pliers, High Leverage	Klein D213-8NE 8 Kombizange, Hochleistungszange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21597.jpg	11.42	7.2	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
Klein Tools	D220-7	['D22', 'D220', 'D220-', 'D220-7']	9264472030	Cutting of Wires	Durchtrennen von Drähten	Red Grip	Roter Griff			Tool steel	Werkzeugstahl		 		0.64	Heavy-Duty Diagonal-Cutting Pliers	Hochleistungs-Diagonalschneider	TRUE	https://pacific.bloomreach.com/supplyglobal/products/21598___21598	21598	KLEIN D2207 7-IN DIAG CUT PLIERS	KLEIN D2207 7-Zoll-Seitenschneider	Klein D220-7 7 Heavy-Duty Diagonal-Cutting Pliers - Tapered Nose	Klein D220-7 7 Hochleistungs-Seitenschneider - Spitzzange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21598.jpg	7.16	4.51	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855050000', 'name': 'Diagonal Cutting Pliers'}]]
Klein Tools	D502-12	['D50', 'D502', 'D502-', 'D502-1', 'D502-12']	9264473018		 	Yellow	Gelb				 		 		1.44	Pump Pliers - Standard	Pumpenzange - Standard	TRUE	https://pacific.bloomreach.com/supplyglobal/products/21613___21613	21613	KLEIN D502-12 12-IN PUMP PLIERS	KLEIN D502-12 12-Zoll-Pumpzange	Klein D502-12 12 Pump Pliers	Klein D502-12 12 Pumpenzange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21613.jpg	14.27	8.99	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855280000', 'name': 'Tongue and Groove Pliers'}]]
Klein Tools	HD213-9NE	['HD2', 'HD21', 'HD213', 'HD213-', 'HD213-9', 'HD213-9N', 'HD213-9NE']	9264470044		 	Light Red	Hellrot				 		 		1.2	Heavy Duty, High-Leverage	Hochleistungsfähig, mit großer Hebelwirkung	TRUE	https://pacific.bloomreach.com/supplyglobal/products/21627___21627	21627	KLEIN HD213-9NE 9-IN SIDE CUT PLIER	KLEIN HD213-9NE 9-Zoll-Seitenschneiderzange	Klein HD213-9NE 9 Heavy Duty Lineman's Pliers	Klein HD213-9NE 9 Hochleistungs-Montagezange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_21627.jpg	12.32	7.76	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
Ideal Industries	35-420	['35-', '35-4', '35-42', '35-420']	78325035420		 		 			Drop-Forged, High Carbon steel construction	Gesenkgeschmiedete Konstruktion aus hochkohlenstoffhaltigem Stahl		 		0.85	Tongue and Groove Plier	Wasserpumpenzange	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2188531___2188531	2188531	IDEAL 35-420 HD TONGUE&GRV PLIER	IDEAL 35-420 HD ZANGEN- UND GRV-ZANGE	IDEAL 35-420 Pliers, Tongue & Groove w/Cushion Grip Handles, 9-1/2	IDEAL 35-420 Wasserpumpenzange, Wasserpumpenzange mit gepolsterten Griffen, 9-1/2 Zoll	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2188531.jpg	12.17	7.67	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855280000', 'name': 'Tongue and Groove Pliers'}]]
Ideal Industries	35-995BLK	['35-', '35-9', '35-99', '35-995', '35-995B', '35-995BL', '35-995BLK']	78325051768		 	Black	Schwarz				 		 		0.6	Premium Roller Leather Belt	Premium-Rollledergürtel	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2188575___2188575	2188575	IDEAL 35-995BLK 2 RLR BKT BLT BLK	IDEAL 35-995BLK 2 RLR BKT BLT BLK	IDEAL 35-995BLK 2 Roller Buckle Black Leather Belt, 48 Length	IDEAL 35-995BLK Gürtel aus schwarzem Leder mit 2 Rollenschnallen, 48 Zoll Länge	Ideal	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2188575.jpg	12.69	8	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221114000000', 'name': 'Tactical'}, {'id': 'NA_221114010000', 'name': 'Clothing Belts'}]]
Klein Tools	53002	['530', '5300', '53002']	9264453002	General Purpose	Allgemeiner Zweck		 				 		 		0.66	Regular-Point Drill Bits	Normalspitzbohrer	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2193288___2193288	2193288	KLEIN 53002 13PC DRILL BIT SET	KLEIN 53002 13-teiliges Bohrer-Set	Klein 53002 13pc Drill Bit Set	Klein 53002 13-teiliges Bohrer-Set	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2193288.jpg	11.02	6.94	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251501000000', 'name': 'Attachments'}, {'id': 'NA_251501090000', 'name': 'Drill Bits'}, {'id': 'NA_251501091800', 'name': 'Drill Bit Sets'}]]
nVent	CAT12AB	['CAT', 'CAT1', 'CAT12', 'CAT12A', 'CAT12AB']	78285633312	Datacom and Low Voltage, Electrical	Datenkommunikation und Niederspannung, Elektrotechnik		 			Steel	Stahl	3/4 in dia, 1/4 in Hole	3/4 Zoll Durchmesser, 1/4 Zoll Loch		0.045	CADDY� CABLECAT J-Hook with Angle Bracket	CADDY® CABLECAT J-Haken mit Winkelhalterung	TRUE	https://pacific.bloomreach.com/supplyglobal/products/222395___222395	222395	CADDY CAT12AB COMM CBL HGR ASSY	CADDY CAT12AB COMM CBL HGR ASSY	Erico CAT12AB 3/4 Inch Pre-Galvanized Steel Cable Support J-Hook	Erico CAT12AB 3/4 Zoll vorverzinkter Stahlseilträger J-Haken	nVent	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_222395.jpg	9.86	6.21	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302170000', 'name': 'J-Hooks'}]]
Rockwell Automation	2090-SCEP5-0	['209', '2090', '2090-', '2090-S', '2090-SC', '2090-SCE', '2090-SCEP', '2090-SCEP5', '2090-SCEP5-', '2090-SCEP5-0']	66245374777		 		 		5-5m	Polyethylene	Polyethylen	10 mm	10 mm		0.14	Fiber Optics Cable	Glasfaserkabel	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2294535___2294535	2294535	AB 2090-SCEP5-0 Sercos Fiber Cable,	AB 2090-SCEP5-0 Sercos Glasfaserkabel,	A-B 2090-SCEP5-0 Kinetix 5-5m Fiber Optic Cable	A-B 2090-SCEP5-0 Kinetix 5-5m Glasfaserkabel	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2294535.jpg	8.89	5.6	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Rockwell Automation	2090-SCVP5-0	['209', '2090', '2090-', '2090-S', '2090-SC', '2090-SCV', '2090-SCVP', '2090-SCVP5', '2090-SCVP5-', '2090-SCVP5-0']	66245374786		 		 		5-5m		 		 		0.489	Fiber Optics Cable	Glasfaserkabel	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2294544___2294544	2294544	AB 2090-SCVP5-0 Sercos Fiber Cable,	AB 2090-SCVP5-0 Sercos Glasfaserkabel,	A-B 2090-SCVP5-0 Kinetix 5-5m Fiber Optic Cable	A-B 2090-SCVP5-0 Kinetix 5-5m Glasfaserkabel	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2294544.jpg	11.65	7.34	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Brady	7304-4	['730', '7304', '7304-', '7304-4']	75447393205	Pipe & Valve Marking	Rohr- und Ventilkennzeichnung	White on Green	Weiß auf Grün			Brady B-946 Vinyl	Brady B-946 Vinyl	4	4		0.012	Self-Adhesive	Selbstklebend	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2330047___2330047	2330047	BRADY 7304-4 PIPE MARKER	BRADY 7304-4 Rohrmarkierer	PIPE MKR,B946,S-4,GRN,WATER,4/CQ	PIPE MKR,B946,S-4,GRN,WATER,4/CQ	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2330047.jpg	12.53	7.89	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309020000', 'name': 'Identification Labels'}]]
Brady	86861	['868', '8686', '86861']	75447386861		 	Black/Red on White	Schwarz/Rot auf Weiß	3.5		Brady B-302 Polyester	Brady B-302 Polyester		 		0.05	Label	Etikett	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2332306___2332306	2332306	BRADY 86861 3-1/2X5 EQUIPMENT LABEL	BRADY 86861 3-1/2X5 Geräteetikett	EQUIPMENT/OEM LABELS	AUSRÜSTUNGS-/OEM-ETIKETTEN	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2332306.jpg	13.57	8.55	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309020000', 'name': 'Identification Labels'}]]
Brady	86868	['868', '8686', '86868']	75447386868	For Indoor/Outdoor use	Für den Innen- und Außenbereich geeignet	Black/Red on White	Schwarz/Rot auf Weiß	3.5	3-1/2 in	Brady B-302 Polyester	Brady B-302 Polyester		 		0.05	Label	Etikett	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2332313___2332313	2332313	BRADY 86868 EQUIPMENT/OEM LABELS	BRADY 86868 AUSRÜSTUNGS-/OEM-ETIKETTEN	LBL,B302,BK/RD/WT,5X3.5,DGR PINCH P,5/PK	LBL,B302,BK/RD/WT,5X3.5,DGR PINCH P,5/PK	Brady	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2332313.jpg	6.6	4.16	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309050000', 'name': 'Warning Labels'}]]
Rockwell Automation	1492-CJ6-4	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJ6', '1492-CJ6-', '1492-CJ6-4']	66246843521	for Use With 1492-W4, W4TW	Zur Verwendung mit 1492-W4, W4TW	Gray	Grau				 		 		0.016	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2480379___2480379	2480379	AB 1492-CJ6-4 Center Jumper, 6 mm	AB 1492-CJ6-4 Mittelbrücke, 6 mm	A-B 1492-CJ6-4 IEC Center Jumper, 4 PL 6mm, Screw	A-B 1492-CJ6-4 IEC-Mittelbrückenstecker, 4 PL 6 mm, Schraube	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2480379.jpg	10.38	6.54	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Rockwell Automation	1492-CJK6-2	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJK', '1492-CJK6', '1492-CJK6-', '1492-CJK6-2']	61132087202	for Use With 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Zur Verwendung mit 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Yellow	Gelb				 		 		0.004	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2500550___2500550	2500550	AB 1492-CJK6-2 Center Jumper, 6 mm	AB 1492-CJK6-2 Mittelbrücke, 6 mm	Allen-Bradley 1492-CJK6-2 Push In Center Jumper	Allen-Bradley 1492-CJK6-2 Push In Center Jumper	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2500550.jpg	12.46	7.85	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Rockwell Automation	1492-CJK6-10	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJK', '1492-CJK6', '1492-CJK6-', '1492-CJK6-1', '1492-CJK6-10']	61132087210	for Use With 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Zur Verwendung mit 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Yellow	Gelb				 		 	400 V	0.021	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2500551___2500551	2500551	AB 1492-CJK6-10 Center Jumper, 6 mm	AB 1492-CJK6-10 Mittelbrücke, 6 mm	A-B 1492-CJK6-10 IEC Center Jumper, 10 PL 6mm, Plug-In	A-B 1492-CJK6-10 IEC-Mittelbrückenstecker, 10 PL 6 mm, Steckverbindung	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2500551.jpg	14.02	8.84	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Panduit	PLT1.5M-M	['PLT', 'PLT1', 'PLT1.', 'PLT1.5', 'PLT1.5M', 'PLT1.5M-', 'PLT1.5M-M']	7498354011	General	Allgemein	Natural	Natürlich			Nylon 6.6	Nylon 6.6		 		1.06	Cable Ties	Kabelbinder	TRUE	https://pacific.bloomreach.com/supplyglobal/products/25724___25724	25724	PAND PLT1.5M-M Cable Tie 5.6L	PAND PLT1.5M-M Kabelbinder 5.6L	Panduit PLT1.5M-M Cable Tie, 5.6L (142mm), Miniature, Nylon, Natural	Panduit PLT1.5M-M Kabelbinder, 5,6L (142 mm), Miniatur, Nylon, Natur	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_25724.jpg	5.97	3.76	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Rockwell Automation	1492-CJK6-3	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJK', '1492-CJK6', '1492-CJK6-', '1492-CJK6-3']	61132087203	for Use With 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Zur Verwendung mit 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Yellow	Gelb				 		 		0.006	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2605945___2605945	2605945	AB 1492-CJK6-3 Center Jumper, 6 mm	AB 1492-CJK6-3 Mittelbrücke, 6 mm	A-B 1492-CJK6-3 IEC Center Jumper, 3 PL 6mm, Plug-In	A-B 1492-CJK6-3 IEC-Mittelbrückenstecker, 3 PL 6 mm, Steckbar	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2605945.jpg	5.16	3.25	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Rockwell Automation	1492-CJK6-4	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJK', '1492-CJK6', '1492-CJK6-', '1492-CJK6-4']	61132087204	for Use With 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Zur Verwendung mit 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Yellow	Gelb				 		 		0.008	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2605946___2605946	2605946	AB 1492-CJK6-4 Center Jumper, 6 mm	AB 1492-CJK6-4 Mittelbrücke, 6 mm	A-B 1492-CJK6-4 IEC Center Jumper, 4 PL 6mm, Plug-In	A-B 1492-CJK6-4 IEC-Mittelbrückenstecker, 4 PL 6 mm, Steckverbindung	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2605946.jpg	11.58	7.29	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Rockwell Automation	1492-CJK6-5	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJK', '1492-CJK6', '1492-CJK6-', '1492-CJK6-5']	61132087205	for Use With 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Zur Verwendung mit 1492-L4, L4T, L4Q, LD4DF, LD4DR, LD4SS, LD4, LD4C, L16D	Yellow	Gelb				 		 		0.011	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2605947___2605947	2605947	AB 1492-CJK6-5 Center Jumper, 6 mm	AB 1492-CJK6-5 Mittelbrücke, 6 mm	A-B 1492-CJK6-5 IEC Center Jumper, 5 PL 6mm, Plug-In	A-B 1492-CJK6-5 IEC-Mittelbrückenstecker, 5 PL 6 mm, Steckverbindung	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2605947.jpg	7.06	4.45	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Hubbell Wiring Device-Kellems	HBL320R7W	['HBL', 'HBL3', 'HBL32', 'HBL320', 'HBL320R', 'HBL320R7', 'HBL320R7W']	78358540345	High Ampacity Watertight Connections	Wasserdichte Verbindungen mit hoher Strombelastbarkeit	Red	Rot			Thermoplastic	Thermoplast	Standard Sized	Standardgröße	480 V	0.9	Single Flanged	Einfachflansch	TRUE	https://pacific.bloomreach.com/supplyglobal/products/2674268___2674268	2674268	HW HBL320R7W RECEPTACLE	HW HBL320R7W STECKDOSE	Hubbell HBL320R7W PS, IEC, R, 2P3W, 20A 480V, IP67	Hubbell HBL320R7W PS, IEC, R, 2P3W, 20A 480V, IP67	WIRING DEVICE-KELLEMS	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_2674268.jpg	8.47	5.34	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240602000000', 'name': 'Pin & Sleeve'}]]
